"panel","especificacion","coef","se_robusto","ci_low","ci_high"
"A. Experimento: llamado para entrevista","(1) Sin controles",-0.0320328542094475,0.00778496930715916,-0.0472913940514794,-0.0167743143674155
"A. Experimento: llamado para entrevista","(2) + Ciudad, sexo",-0.032249725716847,0.00777340818279189,-0.0474856057551191,-0.0170138456785749
"A. Experimento: llamado para entrevista","(3) + Currículo",-0.0312647335821484,0.00767911475589954,-0.0463157985037115,-0.0162136686605853
"A. Experimento: llamado para entrevista","(4) + Industria",-0.0312229360310811,0.00767188089714498,-0.0462598225894853,-0.0161860494726769
"B. CPS 2024: estar empleado","(1) Sin controles",-0.0777945200909358,0.00575170647908215,-0.0890678647899368,-0.0665211753919348
"B. CPS 2024: estar empleado","(2) + Sexo, edad",-0.0728829024430536,0.00570922386136808,-0.0840729812113351,-0.0616928236747722
"B. CPS 2024: estar empleado","(3) + Educación",-0.0479303876446137,0.00561929363754412,-0.0589442031742002,-0.0369165721150272
"B. CPS 2024: estar empleado","(4) + Estado, familia",-0.0357946411691147,0.00589063589926106,-0.0473402875316664,-0.0242489948065631
